lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
59.4350494862,24.7477738911,Tallinn,Estonia,Estonian,1981,Elvi Kippasto,Jane Eyre,Eesti Raamat,10 Pärnu mnt. Tallinn 10140. Estonia,2nd print of the 1959 translation
59.437308611,24.7536746509,Tallinn,Estonia,Estonian,2007,Elvi Kippasto,Jane Eyre,Mediasat Group. Eesti Päevaleht AS,Tallinn. Estonia,3rd print of the 1959 translation
59.4318482492,24.7453503085,Tallinn,Estonia,Estonian,2013,Elvi Kippasto,Jane Eyre,Tänapäev,10 Pärnu mnt. Tallinn 10141. Estonia,4th print of the 1959 translation
